id_programa,nombre_programa,id_area,area_conocimiento_original
91,TÉCNICO LABORAL EN MANTENIMIENTO DE EQUIPOS ELÉCTRICOS,27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
92,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
93,TÉCNICO LABORAL EN COSMETOLOGÍA Y ESTÉTICA INTEGRAL,3,VENTAS Y SERVICIOS
94,CONOCIMIENTOS ACADÉMICOS EN CHINO MANDARIN,28,No especificada
95,AUXILIAR EN ENFERMERIA,13,SALUD
96,CONOCIMIENTOS ACADÉMICOS EN PORTUGUÉS A2 INTENSIVO,28,No especificada
97,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
98,TECNICO LABORAL EN AUXILIAR EN SECRETARIADO EJECUTIVO,27,FINANZAS Y ADMINISTRACIÓN
99,CUIDADO ESTÉTICO DE MANOS Y PIES,13,VENTAS Y SERVICIOS
100,TÉCNICO LABORAL EN AUXILIAR DE ALMACEN Y BODEGA,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
101,TÉCNICO LABORAL EN ATENCIÓN INTERGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
102,TÉCNICO LABORAL EN SECRETARÍA DE GERENCIA,1,FINANZAS Y ADMINISTRACIÓN
103,TÉCNICO LABORAL EN RECUPERACION DEL PATRIMONIO CONSTRUIDO,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
104,TÉCNICO LABORAL EN PRIMERA INFANCIA,17,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
105,TÉCNICO LABORAL EN CUIDADO ESTÉTICO DE MANOS Y PIES,13,VENTAS Y SERVICIOS
106,TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS DE COMPUTO,27,VENTAS Y SERVICIOS
107,TÉCNICO LABORAL EN ASISTENTE ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
108,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
109,AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
110,TECNICO LABORAL EN SISTEMAS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
111,TÉCNICO LABORAL EN AUXILIAR EN VETERINARIA,23,VENTAS Y SERVICIOS
112,TÉCNICO LABORAL EN ADMINISTRACIÓN EN SISTEMAS INFORMÁTICOS,1,FINANZAS Y ADMINISTRACIÓN
113,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
114,TECNICO LABORAL POR COMPETENCIAS EN GESTION EMPRESARIAL,1,FINANZAS Y ADMINISTRACIÓN
