id_programa,nombre_programa
189,"ANALISIS, ADMINISTRADOR Y PROGRAMADOR DE SISTEMAS INFORMATICOS"
190,"ANALISIS, DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACION"
191,"ANIMACION, RECREACION Y DEPORTES"
192,"ANIMADOR, RECREACIÓN Y DEPORTE"
193,ANTROPOLOGO
194,ANTROPOLOGO (A)
195,ANTROPOLOGO(A)
196,ANTROPÓLOGO
197,ANTROPÓLOGO (A)
198,ANTROPÓLOGO / ANTROPÓLOGA
199,ANTROPÓLOGO(A)
200,ANUNCIADORES Y LOCUTORES
201,ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN
202,APTITUD OCUPACIONAL EN AUXILIAR EN SALUD ORAL
203,APTITUD OCUPACIONAL EN AUXILIAR ENFERMERIA
204,ARCHIVISTA
205,ARCHIVISTICA Y GESTION DE INFORMACION
206,ARMADO DE PIEZAS DE JOYERIA
207,ARQUEOLOGO
208,ARQUITECTO
209,ARQUITECTO (A)
210,ARQUITECTO / ARQUITECTA
211,ARQUITECTO CONSTRUCTOR
212,ARQUITECTO DE INTERIORES
213,ARQUITECTO(A)
214,ARQUITECTO(A) CONSTRUCTOR(A)
215,ARQUITECTO/A
216,ASESORÍA DE IMAGEN PERSONAL Y CORPORATIVA
217,ASISTE JURÍDICO Y DE TRIBUNALES
218,ASISTENCIA ADMINISTRATIVA
219,ASISTENCIA CONTABLE Y FINANCIERA
220,ASISTENCIA DE DIRECCION Y ADMINISTRACION DE NEGOCIOS
221,ASISTENCIA EN EL ANALISIS Y PRODUCCION DE INFORMACION
222,ASISTENCIA EN OFIMATICA
223,ASISTENCIA EN ORGANIZACION EMPRESARIAL
224,ASISTENCIA JUDICIAL Y CRIMINALISTICA
225,ASISTENCIA LOGISTICA
226,ASISTENTE  ADMINISTRATIVO
227,ASISTENTE ADMINISTATIVO
228,ASISTENTE ADMINISTRATIVO
229,ASISTENTE ADMINISTRATIVO BILINGUE
230,ASISTENTE ADMINISTRATIVO DE CAMPO PETROLERO
231,ASISTENTE ADMINISTRATIVO EN SERVICIOS DE SALUD
232,ASISTENTE COMERCIO EXTERIOR
233,ASISTENTE CONTABILIDAD
234,ASISTENTE CONTABLE
235,ASISTENTE CONTABLE Y FINANCIERO
236,ASISTENTE DE COMERCIO EXTERIOR
237,ASISTENTE DE GERENCIA ADMINISTRATIVA
238,ASISTENTE DE LOGISTICA
239,ASISTENTE DE SEGURIDAD Y SALUD EN EL TRABAJO
240,ASISTENTE DE VETERINARIA
241,ASISTENTE EN ADMINISTRACIÒN DE SISTEMAS
242,ASISTENTE EN COMERCIO EXTERIOR
243,ASISTENTE EN EL ANÁLISIS Y PRODUCCIÓN DE LA INFORMACIÓN
244,ASISTENTE EN LOGISTICA
245,ASISTENTE EN MERCADEO Y PUBLICIDAD
246,ASISTENTE VETERINARIO
247,ASISTENTE Y SOPORTE DE TECNOLÓGICA
248,ASTRÓNOMO
249,ATENCION INTEGRAL A LA PRIMERA INFANCA
250,ATENCIÓN DE INCENDIOS Y EMERGENCIAS
251,AUDITOR
252,AUXILIAR ADMINISTRACION EN SALUD
253,AUXILIAR ADMINISTRATIVA
254,AUXILIAR ADMNISTRATIVO EN SALUD
255,AUXILIAR BANCARIO
256,AUXILIAR CORTE COMFECCION Y MODAS
257,AUXILIAR DE  ARCHIVO Y REGISTRO
258,AUXILIAR DE ALMACÉN Y BODEGA
259,AUXILIAR DE ARCHIVO Y REGISTRO
260,AUXILIAR DE ASEO
261,AUXILIAR DE CAMPO PARA LA INDUSTRIA DEL PETROLEO
262,AUXILIAR DE COCINA
263,AUXILIAR DE CONTABILIDAD
264,AUXILIAR DE CONTABILIDAD Y FINANZAS
265,AUXILIAR DE CRIMINALISTICA E INVESTIGACION JUDICIAL
266,AUXILIAR DE DIRECCION DE OFICINAS BANCARIA
267,AUXILIAR DE DISEÑO GRAFICO
268,AUXILIAR DE ENFERMERIA
269,AUXILIAR DE INFORMACIÓN TURÍSTICA
270,AUXILIAR DE LOCUCION Y PRODUCCION DE MEDIOS AUDIOVISUALES
271,AUXILIAR DE LOGÍSTICA EMPRESARIAL
272,AUXILIAR DE MECÁNICA DENTAL
273,AUXILIAR DE MERCADEO
274,AUXILIAR DE MERCADEO Y VENTAS
275,AUXILIAR DE OFICINA
276,AUXILIAR DE PREESCOLAR
277,AUXILIAR DE RECEPCION HOTELERA
278,AUXILIAR DE SALUD ORAL
279,AUXILIAR DE SERVICIO AL HUESPED
280,AUXILIAR DE SERVICIOS FARMACEUTICOS
281,AUXILIAR DE SERVICIOS FARMACÉUTICOS
282,AUXILIAR DE SERVICIOS HOTELEROS
283,AUXILIAR DE SERVICIOS VETERINARIOS
284,AUXILIAR DE SISTEMAS INFORMATICOS
285,AUXILIAR DE SISTEMAS INFORMÁTICOS
286,AUXILIAR DE SISTEMAS Y OFIMATICA
287,AUXILIAR DE VETERINARIA
288,AUXILIAR EN ADMINISTRACION EN SALUD
289,AUXILIAR EN ADMINISTRACION Y MERCADEO
290,AUXILIAR EN ANALISIS Y DESARROLLO DE SISTEMA DE LA INFORMACION
291,AUXILIAR EN ARCHIVO
292,AUXILIAR EN BANCA Y SERVICIOS FINANCIEROS
293,AUXILIAR EN CLÍNICA VETERINARIA
294,AUXILIAR EN COMERCIO EXTERIOR
295,AUXILIAR EN CONTABILIDAD
296,AUXILIAR EN COSMETOLOGIA Y ESTETICA INTEGRAL
297,AUXILIAR EN COSMETOLOGÍA Y ESTETICA INTEGRAL
298,AUXILIAR EN CUIDADOS DE NIÑOS
299,AUXILIAR EN DISEÑO  DE MODAS
300,AUXILIAR EN DISEÑO DE MODAS
301,AUXILIAR EN DISEÑO GRAFICO
302,AUXILIAR EN DISEÑO GRÁFICO
303,AUXILIAR EN DISEÑO Y ARTE GRAFICO
304,AUXILIAR EN EDUCACION PREESCOLAR
305,AUXILIAR EN EL ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION
306,AUXILIAR EN EMFERMERIA
307,AUXILIAR EN ENFERMARÍA
308,AUXILIAR EN INVESTIGACION JUDICIAL
309,AUXILIAR EN LOGISTICA
310,AUXILIAR EN MECANICA DENTAL
311,AUXILIAR EN MERCADEO
312,AUXILIAR EN MERCADEO Y VENTAS
313,AUXILIAR EN PREESCOLAR
314,AUXILIAR EN PREESCOLAR Y SECTOR EDUCATIVO
315,AUXILIAR EN PROCESOS INDUSTRIALES
316,AUXILIAR EN SALUD ORAL
317,AUXILIAR EN SALUD PUBLICA
318,AUXILIAR EN SALUD PÚBLICA.
319,AUXILIAR EN SECRETARIADO EJECUTIVO
320,AUXILIAR EN SERVICIO FARMACEUTICO
321,AUXILIAR EN SERVICIO SOCIAL Y COMUNITARIO
322,AUXILIAR EN SERVICIOS FARMACEUTICOS
323,AUXILIAR EN SERVICIOS FARMACÉUTICOS
324,AUXILIAR EN SERVICIOS HOTELEROS Y TURISTICOS
325,AUXILIAR EN SISTEMAS
326,AUXILIAR EN SISTEMAS  INFORMÁTICOS
327,AUXILIAR EN SISTEMAS DE INFORMACION
328,AUXILIAR EN SISTEMAS INFORMATICOS
329,AUXILIAR EN SISTEMAS INFORMÁTICOS
330,AUXILIAR EN SISTEMAS Y MATENIMIENTO DE COMPUTADORES
331,AUXILIAR EN TALENTO HUMANO
332,AUXILIAR EN TOPOGRAFIA
333,AUXILIAR EN VENTAS Y SERVICIOS
334,AUXILIAR EN VETERINARIA
335,AUXILIAR EN VETERINARIA Y ZOOTECNIA
336,AUXILIAR ENSERVICIOS FARMACEUTICOS
337,AUXILIAR FACTURACION  CUENTAS MEDICAS
